id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,name,artist,genre
2KslE17cAJNHTsI2MI0jb2,0.0447,0.711,0.809,0,2,0.339,-4.389,0,0.0955,106.017,4,0.816,Standing Next to You,Jung Kook,0
3rUGC1vUpkDG9CZFHMur1t,0.256,0.75,0.733,0,6,0.114,-3.18,0,0.0319,111.018,1,0.844,greedy,Tate McRae,0
5aIVCx5tnk0ntmdiinnYvw,0.0856,0.673,0.722,0,3,0.137,-3.495,0,0.0755,117.187,4,0.519,Water,Tyla,0
2IGMVunIBsBLtEQyoI1Mu7,0.269,0.868,0.538,3.34e-06,5,0.0901,-8.603,1,0.174,99.968,4,0.732,Paint The Town Red,Doja Cat,0
5mjYQaktjmjcMKcUIcqz4s,0.701,0.628,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416,Strangers,Kenya Grace,0
4MjDJD8cW7iVeWInc2Bdyj,0.15,0.787,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13,MONACO,Bad Bunny,0
3vkCueOmm7xQDoJ17W1Pm3,0.868,0.504,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121,My Love Mine All Mine,Mitski,0
1Iq8oo9XkmmvCQiGOfORiz,0.0504,0.596,0.658,0,0,0.127,-7.346,1,0.036,100.012,4,0.176,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0
6WzRpISELf3YglGAh7TXcG,0.0569,0.855,0.678,3.69e-05,1,0.412,-6.276,1,0.189,99.029,4,0.852,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,0
4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,0,5,0.11,-7.231,1,0.132,143.008,4,0.392,Snooze,SZA,0
0rKWJnmo6Q0ovoPOLoLm0t,0.252,0.758,0.703,0,10,0.146,-5.979,0,0.172,94.985,4,0.465,TOO MUCH,The Kid LAROI,0
2HafqoJbgXdtjwCOvNEF14,0.827,0.537,0.421,0,5,0.138,-8.72,1,0.0285,98.224,4,0.524,Si No Estás,iñigo quintero,0
4KULAymBBJcPRpk1yO4dOG,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0
1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564,Cruel Summer,Taylor Swift,0
1vYXt7VSjH9JIM5oRRo7vA,0.0207,0.671,0.845,0,11,0.329,-4.93,0,0.048,110.056,4,0.775,Dance The Night - From Barbie The Album,Dua Lipa,0
7dJYggqjKo71KI9sLzqCs8,0.228,0.75,0.674,8.91e-05,8,0.122,-6.128,0,0.097,123.026,4,0.392,Agora Hills,Doja Cat,0
7aqfrAY2p9BUSiupwk3svU,0.0277,0.47,0.64,0,2,0.382,-7.779,1,0.32,163.92,4,0.248,First Person Shooter (feat. J. Cole),Drake,0
0WtM2NBVQNNJLh6scP13H8,0.382,0.801,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802,Calm Down (with Selena Gomez),Rema,0
3IX0yuEVvDbnqUwMBB3ouC,0.00193,0.627,0.879,6.87e-06,9,0.0647,-3.446,1,0.0955,129.979,4,0.748,bad idea right?,Olivia Rodrigo,0
6wf7Yu7cxBSPrRlWeSeK0Q,0.959,0.444,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0
4rXLjWdF2ZZpXCVTfWcshS,0.119,0.847,0.622,0,1,0.285,-6.747,0,0.0903,130.001,4,0.22,fukumean,Gunna,0
6wsqVwoiVH2kde4k4KKAFU,0.0186,0.927,0.619,0,5,0.104,-4.441,0,0.0539,117.995,4,0.817,I KNOW ?,Travis Scott,0
7x9aauaA9cu6tyfpHnqDLo,0.311,0.802,0.832,0,11,0.0815,-4.107,1,0.0434,124.997,4,0.89,Seven (feat. Latto) (Explicit Ver.),Jung Kook,0
1Qrg8KqiBpW07V7PNxwwwL,0.0521,0.644,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418,Kill Bill,SZA,0
5w40ZYhbBMAlHYNDaVJIUu,0.00136,0.498,0.897,0,2,0.118,-4.907,1,0.045,169.902,4,0.373,Chemical,Post Malone,0
5sdQOyqq2IDhvmx2lHOpwd,0.18,0.776,0.817,3.44e-05,5,0.146,-6.018,0,0.0748,149.921,4,0.515,Super Shy,NewJeans,0
5Eh1nj7IjV9lwpcKAkidyY,0.0878,0.629,0.654,0.00655,11,0.22,-7.852,0,0.0584,93.034,4,0.799,One Of Your Girls,Troye Sivan,0
7ABLbnD53cQK00mhcaOUVG,0.0739,0.708,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607,LALA,Myke Towers,0
741UUVE2kuITl0c6zuqqbO,0.519,0.77,0.58,0.000127,0,0.233,-8.393,1,0.247,144.072,4,0.753,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,0
1odExI7RdWc4BT515LTAwj,0.83,0.508,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324,Daylight,David Kushner,0
0Nfh4u0J4bajcyp5pzaWCx,0.6,0.451,0.632,0,4,0.139,-3.843,1,0.0475,147.06,4,0.455,Used To Be Young,Miley Cyrus,0
4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,As It Was,Harry Styles,0
59NraMJsLaMCVtwXTSia8i,0.001,0.638,0.717,1.79e-06,8,0.113,-5.804,1,0.0375,141.904,4,0.422,Prada,cassö,0
2i2gDpKKWjvnRTOZRhaPh2,0.511,0.639,0.723,0,7,0.167,-6.462,0,0.0532,136.872,4,0.878,Moonlight,Kali Uchis,0
1kuGVB7EU95pJObxwvfwKS,0.177,0.511,0.532,0,5,0.291,-5.745,1,0.0578,138.005,4,0.35,vampire,Olivia Rodrigo,0
0mflMxspEfB0VbI1kyLiAv,0.782,0.662,0.488,0,9,0.102,-6.894,1,0.0682,117.913,4,0.817,Stick Season,Noah Kahan,0
17phhZDn6oGtzMe56NuWvj,0.199,0.561,0.604,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,0.242,Lose Control,Teddy Swims,0
6dgUya35uo964z7GZXM07g,0.0268,0.74,0.697,0,8,0.224,-4.912,1,0.034,138.992,4,0.732,Nonsense,Sabrina Carpenter,0
7DSAEUvxU8FajXtRloy8M0,0.0584,0.706,0.691,6.99e-05,0,0.0232,-4.775,1,0.0633,118.048,4,0.632,Flowers,Miley Cyrus,0
2dHHgzDwk4BJdRwy9uXhTO,0.417,0.715,0.62,0,1,0.0822,-6.005,0,0.0484,97.95,4,0.172,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,0
73RbfOTJIjHzi2pcVHjeHM,0.061,0.74,0.758,1.44e-06,1,0.0967,-5.851,0,0.0921,171.925,4,0.757,What It Is (Solo Version),Doechii,0
6iF4RgIjDvDqyW13PezSj3,0.00863,0.61,0.571,0,2,0.131,-5.649,1,0.0782,105.01,4,0.747,Single Soon,Selena Gomez,0
739WUU1tPFLO4x4HJq561K,0.435,0.783,0.592,4.15e-06,11,0.347,-8.332,0,0.0331,120.018,4,0.726,Cupid - Twin Ver.,FIFTY FIFTY,0
6GGtHZgBycCgGBUhZo81xe,0.709,0.49,0.352,0.0856,6,0.114,-11.577,0,0.0254,99.992,4,0.166,Say Yes To Heaven,Lana Del Rey,0
6AQbmUe0Qwf5PZnt4HmTXv,0.252,0.696,0.809,0.000128,5,0.248,-8.254,1,0.05,132.962,4,0.857,Boy's a liar Pt. 2,PinkPantheress,0
23RoR84KodL5HWvUTneQ1w,0.12,0.671,0.876,0.188,7,0.0823,-5.681,0,0.0352,129.998,4,0.964,(It Goes Like) Nanana - Edit,Peggy Gou,0
6gcuJpHu0Ey30D5WR76y98,0.0147,0.787,0.573,1.72e-05,9,0.0926,-6.197,1,0.0606,111.996,4,0.575,You & Me,JENNIE,0
2FDTHlrBguDzQkp7PVj16Q,0.186,0.916,0.583,0,1,0.0798,-8.067,1,0.241,141.095,4,0.661,Sprinter,Dave,0
59uQI0PADDKeE6UZDTJEe8,0.459,0.517,0.675,0,6,0.151,-5.382,1,0.0357,203.853,4,0.518,Last Night,Morgan Wallen,0
6fNCrsrdIcgVd2aZZ0nnz4,0.434,0.909,0.762,0,9,0.0856,-3.974,1,0.0643,101.987,3,0.843,Según Quién,Maluma,0
6IG3sQ8s9nfk6TUlVzRhbN,0.041,0.595,0.656,0,0,0.122,-7.343,1,0.037,99.994,4,0.191,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0
56xHMIfQPoe0prrSi3BGhf,0.838,0.521,0.366,4.11e-06,11,0.12,-7.698,0,0.034,141.965,4,0.225,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,0
7DlZH8EiVDgQXNoj3dnyZC,0.255,0.864,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726,Paint The Town Red,Doja Cat,0
58pTPJPBjw1xL9OcLcQczU,0.554,0.429,0.453,2e-06,0,0.102,-7.746,1,0.0459,77.639,4,0.155,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,0
0PAcdVzhPO4gq1Iym9ESnK,0.492,0.656,0.757,0,3,0.117,-5.775,0,0.0308,139.971,4,0.429,Thinkin’ Bout Me,Morgan Wallen,0
2YSzYUF3jWqb9YP9VXmpjE,0.0464,0.663,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138,IDGAF (feat. Yeat),Drake,0
0JmnkIqdlnUzPaf8sqBRs3,0.518,0.642,0.706,0,7,0.25,-6.872,0,0.052,136.851,4,0.896,Moonlight,Kali Uchis,0
0cVyQfDyRnMJ0V3rjjdlU3,0.152,0.85,0.699,0,0,0.32,-3.292,1,0.0776,114.481,4,0.915,Lil Boo Thang,Paul Russell,0
2kE2HFBFkJ0VMw3igxYohz,0.0878,0.65,0.689,0,0,0.172,-3.543,1,0.0449,136.03,4,0.294,Wild Ones (feat. Jelly Roll),Jessie Murph,0
3XB5uhhlYSnkxpSihkNQwh,0.525,0.842,0.756,2.21e-06,7,0.0871,-7.409,0,0.338,169.925,4,0.421,QLONA,KAROL G,0
7iQXYTyuG13aoeHxGG28Nh,0.0887,0.911,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,0.345,PERRO NEGRO,Bad Bunny,0
7jvtmQ3onpWeUm7dyFSSSc,0.00115,0.486,0.899,0,2,0.102,-4.713,1,0.0489,169.934,4,0.356,Chemical,Post Malone,0
6usohdchdzW9oML7VC4Uhk,0.199,0.561,0.604,1.9e-05,9,0.104,-4.409,1,0.0337,159.92,3,0.242,Lose Control,Teddy Swims,0
6HgWWaMu31KdOpEG5l28BG,0.15,0.829,0.436,0,3,0.0954,-8.205,1,0.327,143.031,4,0.693,All My Life (feat. J. Cole),Lil Durk,0
1vhbThkFnqAHbZp0fEjXE4,0.41,0.576,0.683,0,7,0.0819,-5.103,1,0.118,151.566,4,0.433,Sarah's Place (feat. Noah Kahan),Zach Bryan,0
1Lo0QY9cvc8sUB2vnIOxDT,0.186,0.712,0.603,0,8,0.115,-5.52,1,0.0262,97.994,4,0.67,Fast Car,Luke Combs,0
3OHfY25tqY28d16oZczHc8,0.0543,0.644,0.728,0.169,8,0.161,-5.75,1,0.0351,88.993,4,0.43,Kill Bill,SZA,0
4pCbJC43j3gSqG6Fen6upD,0.494,0.583,0.351,0,0,0.368,-5.836,1,0.0306,79.014,4,0.462,Hey Driver (feat. The War and Treaty),Zach Bryan,0
6rjuKpPydT2SxN15TZpV7r,0.0942,0.722,0.785,0,7,0.119,-5.451,0,0.0763,122.986,4,0.529,500lbs,Lil Tecca,0
7DswEZZthZ6piQpL25qGAM,0.556,0.675,0.546,0.00441,4,0.167,-7.716,0,0.0511,77.415,4,0.607,On My Mama,Victoria Monét,0
22VHOlVYBqytsrAqV8yXBK,0.121,0.667,0.613,0,8,0.113,-7.147,1,0.0313,112.046,4,0.681,Dial Drunk (with Post Malone),Noah Kahan,0
7mXuWTczZNxG5EDcjFEuJR,0.216,0.646,0.736,0,5,0.415,-7.118,0,0.0449,140.098,3,0.873,LADY GAGA,Peso Pluma,0
5JYPXqMwYc0zTODQdjMEZN,0.123,0.789,0.763,2.22e-05,1,0.132,-6.169,1,0.199,140.107,4,0.272,Deli,Ice Spice,0
7FbrGaHYVDmfr7KoLIZnQ7,0.435,0.783,0.592,4.15e-06,11,0.347,-8.332,0,0.0331,120.018,4,0.726,Cupid - Twin Ver.,FIFTY FIFTY,0
2Lss5tezmIkgZA3GFfptI2,0.02,0.662,0.673,0,2,0.448,-5.968,0,0.0412,137.793,4,0.713,Killing Me,Conan Gray,0
3CJrKExvAP6RCtUR8Cf99P,0.617,0.561,0.418,0,10,0.129,-7.063,0,0.0259,174.8,3,0.594,BLEED,The Kid LAROI,0
180AbZduI6bYQIzwCHRwu9,0.498,0.726,0.624,0.0294,2,0.0909,-7.799,0,0.0277,114.99,4,0.573,A Night To Remember,beabadoobee,0
75c2zaSdDBSX0A8Jyvm4fO,0.0842,0.466,0.51,1.55e-06,3,0.0912,-7.31,0,0.0348,67.513,4,0.418,older,Isabel LaRosa,0
3xY5aYJcdvZX9xQxNd02ku,0.033,0.736,0.754,0.000599,4,0.0731,-5.457,1,0.0443,128.046,4,0.648,In The City,Charli XCX,0
4PrGyX4YgCT6V3YqY7XEUw,0.701,0.701,0.76,0.138,8,0.111,-9.588,1,0.107,143.007,4,0.423,Only In My Mind,Kenya Grace,0
1Fav4xZn60uGM3XmiHJmvT,0.0926,0.637,0.639,0.00503,11,0.223,-7.832,0,0.0542,92.987,4,0.81,One Of Your Girls,Troye Sivan,0
6mxsd0LQt2qk2rpLEqlCJw,0.709,0.522,0.427,3.85e-06,0,0.135,-7.419,1,0.0602,106.043,4,0.644,Different Kind Of Beautiful,Alec Benjamin,0
71BqAINEnezjQfxE4VuJfq,0.345,0.629,0.413,7.62e-05,7,0.0603,-13.178,1,0.055,77.983,4,0.306,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,0
45PRcjOnvjz6VMl7tI3O3c,0.924,0.471,0.232,2.05e-05,0,0.124,-10.371,1,0.0286,83.465,4,0.32,You Could Start A Cult (with Lizzy McAlpine),Niall Horan,0
2YOGCTiPJWMhZRdeadFj8G,0.912,0.238,0.441,0.433,3,0.167,-7.42,1,0.0364,79.445,4,0.164,this is what autumn feels like,JVKE,0
4GnjXzJfmPcVEt0S7zIS9L,0.00118,0.638,0.572,0.0204,9,0.193,-6.771,1,0.0407,115.999,4,0.433,Lethal Woman,Dove Cameron,0
12BAxMbHzksw2xiq05gKtT,0.301,0.715,0.579,0.0665,7,0.188,-8.399,0,0.0368,131.925,4,0.444,Sweet Relief,Madison Beer,0
4Zj2uX6ApCFK9XzjwIhCIr,0.385,0.302,0.584,5.22e-05,1,0.089,-6.242,1,0.063,199.804,4,0.159,Boys Of Faith (feat. Bon Iver),Zach Bryan,0
65leXqfkdViSssEVN23uYL,0.15,0.807,0.354,0.713,9,0.186,-7.554,1,0.0321,78.964,4,0.602,Mama's Boy,Dominic Fike,0
0LzidBf7cUsnZnG34OUPSF,0.0857,0.71,0.899,0.112,11,0.189,-4.032,0,0.118,162.927,4,0.555,Mosquito,PinkPantheress,0
38RLObegC9ggpKPRVQDc1g,0.0393,0.63,0.763,0,2,0.7,-4.89,1,0.0892,162.152,4,0.295,AMERICAN HORROR SHOW,SNOW WIFE,0
3tNMdL4qjzNHfo7rlVMESK,0.00229,0.474,0.936,2.53e-06,7,0.181,-2.328,0,0.0763,139.933,4,0.392,HONEY (ARE U COMING?),Måneskin,0
5o4XJKRxUK6nXhFLAIS33A,0.00335,0.284,0.755,0.00195,1,0.103,-3.145,0,0.05,93.384,4,0.199,Gimme Love,Sia,0
0p1hBWPaSxUDTSa32PyhnU,0.0706,0.743,0.671,0,11,0.294,-6.304,1,0.0382,127.923,4,0.627,She Calls Me Back (with Kacey Musgraves),Noah Kahan,0
34sOdxWu9FljH84UXdRwu1,0.254,0.43,0.692,4.17e-06,6,0.148,-4.234,1,0.0429,156.261,4,0.401,all-american bitch,Olivia Rodrigo,0
56v8WEnGzLByGsDAXDiv4d,0.108,0.812,0.749,0,10,0.0599,-6.389,0,0.0397,134.971,4,0.841,ETA,NewJeans,0
7sDkXyDikXhpRz715MdiEp,0.081,0.781,0.611,3.4e-06,0,0.208,-6.211,1,0.136,149.996,4,0.722,PUPPET SHOW,XG,0
3sLTYBYs6lJsFK84t2X7wt,0.693,0.708,0.415,4.68e-05,2,0.123,-4.078,0,0.0314,119.922,4,0.156,Bathroom,Montell Fish,0
19kHhX6f6EfLU7rcO3RqjO,0.207,0.62,0.761,0.000147,10,0.269,-7.282,0,0.175,146.003,4,0.194,Back On 74,Jungle,0
0ZPjVmof45INEERgYfadtv,0.0153,0.69,0.842,0,10,0.0639,-4.288,0,0.0739,141.994,4,0.626,Chasing That Feeling,TOMORROW X TOGETHER,0
31MNHKE86sEXzIglbGQ6mu,0.223,0.777,0.686,0.00148,7,0.318,-6.498,0,0.0308,127.002,4,0.582,Got Me Started,Troye Sivan,0
1nO6DT2QIYTxwLGrfQvIt3,0.0804,0.396,0.64,0,11,0.0824,-6.209,1,0.208,95.633,4,0.371,club heaven,Nessa Barrett,0
63jCeAYGLcRL21xm0jKlgn,0.652,0.504,0.203,0,11,0.105,-11.97,1,0.0569,128.773,4,0.274,Sad Forever,Lauren Spencer Smith,0
2Zo1PcszsT9WQ0ANntJbID,0.0893,0.787,0.686,0,6,0.0927,-4.37,0,0.0339,123.51,4,0.836,Feather,Sabrina Carpenter,0
4jpNmNXMzO3aVgJhy8sdxL,0.488,0.747,0.7,0,0,0.154,-6.563,1,0.0904,95.033,4,0.721,Think Of Us,The Chainsmokers,0
5WZlorRUxgryaweu7kqeHd,0.0119,0.738,0.828,0.0019,10,0.549,-6.31,0,0.106,119.985,4,0.542,Other Boys,Marshmello,0
22dUzMFttcR3uU17NcOAIv,0.0311,0.587,0.924,0.0171,11,0.23,-5.433,0,0.0457,140.009,4,0.509,Desire (with Sam Smith),Calvin Harris,0
7bgIcSp0Nd3qfHqwxQplzW,0.0139,0.542,0.67,2.87e-05,1,0.165,-6.066,1,0.0383,167.027,4,0.415,Mirage - for Assassin's Creed Mirage,OneRepublic,0
15sNe8FD178zMsVz6ug0AS,0.0695,0.885,0.576,0.000235,10,0.0993,-7.17,0,0.238,76.004,4,0.805,Gun,Doja Cat,0
6ehWdR7cGDXnT7aKEASJxE,0.0322,0.853,0.824,0,1,0.0859,-3.287,1,0.103,108.044,4,0.888,3D (feat. Jack Harlow),Jung Kook,0
39fD0qvjgk8RarJnoBiDTx,0.664,0.583,0.372,9.51e-06,4,0.112,-9.58,1,0.0281,104.973,4,0.338,Lovesick,Laufey,0
5MFUxQJGj5KrcCX6Gnphgh,0.0671,0.246,0.71,0,5,0.221,-6.235,1,0.0536,72.076,5,0.491,Loved By You,Chelsea Cutler,0
2ZXb6OBkjmDYnvEB3iANgH,0.327,0.562,0.54,0.603,9,0.107,-6.477,1,0.0281,130.103,4,0.331,Dead Man,David Kushner,0
5CscrLqFBgPfZR8fGtikov,0.346,0.537,0.413,0,7,0.12,-7.736,1,0.0319,133.21,4,0.226,making the bed,Olivia Rodrigo,0
1XTY6rA7XQosc0ynkkE9kN,0.931,0.48,0.199,0.0563,6,0.0978,-12.398,1,0.0329,165.476,4,0.201,Black Friday,Tom Odell,0
5YABYtKx9qa56vBjlXDbmw,0.911,0.462,0.331,0,9,0.15,-8.794,0,0.0432,141.364,3,0.604,Snooze (Acoustic) (feat. Justin Bieber),SZA,0
3rmqiQbzPDx7A8p88IRFKg,0.0947,0.711,0.674,0,10,0.0641,-3.559,1,0.0317,95.0,4,0.253,Love U Like That,Lauv,0
0I2BCIvlzrb6Iix9hAbQFF,0.114,0.737,0.781,0,6,0.132,-5.965,1,0.0415,132.08,4,0.94,Problematic,BoyWithUke,0
0dxp7DyPJEo6JhtnjUtBnN,0.0745,0.495,0.691,0.0033,10,0.0881,-4.989,0,0.0447,123.051,4,0.299,On My Love,Zara Larsson,0
3YgtkOxZsTuaZdL8McA1FQ,0.582,0.747,0.867,0.00413,0,0.114,-7.311,1,0.088,124.015,4,0.684,adore u,Fred again..,0
41WQUSINanQHfhfKpFDsms,0.6,0.451,0.632,0,4,0.139,-3.843,1,0.0475,147.06,4,0.455,Used To Be Young,Miley Cyrus,0
3gA9Y5RsXBUKkr1IP6v4g3,0.261,0.717,0.495,0.00141,0,0.35,-9.56,1,0.0413,91.994,4,0.606,Paint My Bedroom Black,Holly Humberstone,0
2DtUUBwYwEzKMTMDrc5EiO,0.253,0.871,0.372,1.6e-06,0,0.104,-9.077,0,0.0413,110.011,4,0.608,girls like me don't cry,thuy,0
7KQejvX8GC4qMjB8vWSp2p,0.107,0.536,0.59,0.000351,2,0.129,-6.57,1,0.239,180.135,4,0.257,Vertigo,Griff,0
4yJ1fD1LvIVtTDOu4NyKLU,0.0665,0.813,0.466,0.00115,8,0.231,-10.671,1,0.171,132.324,4,0.238,cross my heart,Artemas,0
0rzaRSujxA0bKyjJl6vHYq,0.143,0.576,0.457,3.05e-05,0,0.0917,-6.473,1,0.0304,138.984,4,0.301,Satellite,Harry Styles,0
4Yrt54xR4T8PPOZ7yf9kyT,0.0261,0.722,0.622,0,2,0.109,-5.674,0,0.0734,91.957,4,0.458,Yes I'm A Mess,AJR,0
6ErCfbbI9BG4bK2djjKUvP,0.204,0.348,0.381,0,11,0.133,-7.688,1,0.0552,84.896,3,0.494,i wish you cheated,Alexander Stewart,0
20uknEOwx3PpiGL2Es2vCg,0.748,0.658,0.632,7.33e-05,8,0.169,-8.492,1,0.0298,135.924,4,0.464,Magical,Ed Sheeran,0
6NdnvPwQvZb147DVa4x14h,0.177,0.654,0.62,0,2,0.0987,-5.855,1,0.0846,146.928,4,0.653,Heartbroken (feat. Jessie Murph & Polo G),Diplo,0
79DPYZ6x8FfzgSgPoPhpC3,0.0226,0.847,0.434,0.0673,5,0.087,-6.474,0,0.0382,129.967,4,0.293,Last Time I Saw You,Nicki Minaj,0
1o8Z7GD1CeOaVBEyuzu4HO,0.551,0.481,0.539,0.00539,4,0.12,-7.865,0,0.108,153.277,4,0.621,On My Mama,Victoria Monét,0
444vevlQjTnKioLLncteGv,0.000227,0.445,0.797,0,11,0.363,-5.086,0,0.0434,135.483,4,0.267,Something Real,Post Malone,0
3YfGTvsTAWGC2lgoDOikUz,0.238,0.454,0.931,0.000623,11,0.289,-4.083,1,0.0321,137.945,4,0.462,One in a Million,Bebe Rexha,0
7JLzv38qr5GxXYqQfuQJP9,0.00951,0.515,0.7,3.39e-06,2,0.416,-5.295,1,0.0317,160.052,4,0.295,Summertime Friends,The Chainsmokers,0
1mFpMoeZfkIqtqW2AfQ8ba,0.00199,0.715,0.738,0,2,0.208,-4.42,1,0.0577,160.07,4,0.36,THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,0
3P9pRL7V9yM9DhY6NGZjzA,0.217,0.699,0.645,6.3e-06,10,0.0723,-4.485,0,0.0452,129.99,4,0.484,Love Like This,ZAYN,0
7mobUfp1aL8A6CdugCMWft,0.0252,0.69,0.933,2.51e-05,5,0.493,-3.099,0,0.0832,119.987,4,0.523,BOTH,Tiësto,0
3b5MPNYlX8ztJowxAwzTai,0.118,0.425,0.51,0,0,0.342,-4.838,1,0.0291,139.972,4,0.159,Winner,Conan Gray,0
1dh5DUke1yHJzIF3Sa7nXC,0.278,0.637,0.519,2.11e-05,10,0.109,-9.042,1,0.114,109.795,4,0.263,Pretty Girls,Reneé Rapp,0
3DBJE1Zndql25OGUQSv7aD,0.587,0.548,0.474,0,8,0.121,-8.743,1,0.0446,119.986,4,0.261,A Year Ago,James Arthur,0
3fKpSA5w8iqLe9sNdIDESW,0.725,0.396,0.244,8.29e-05,0,0.111,-11.391,1,0.0355,172.399,4,0.178,Call Your Mom (with Lizzy McAlpine),Noah Kahan,0
5KD6AEm19QnMbfWpfoOHMl,0.186,0.793,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,0
